Time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18
2026-06-30 15:39:31.082,0,0,6858,0,0,0,2285,0,0,0,0,0,3662,0,0,0,0,0,0,0,5353,0,0,0,1662,0,8809,38,0,0,4589,0,0,0,757,0
2026-06-30 15:39:31.083,0,0,6858,0,0,0,2285,0,0,0,0,0,3662,0,0,0,0,0,0,0,5326,0,0,0,1661,0,8778,37,0,0,4587,0,0,0,782,0
2026-06-30 15:39:31.185,0,0,6781,0,0,0,2292,0,0,0,0,0,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:31.193,0,0,6781,0,0,0,2292,0,0,0,0,0,3676,0,0,0,0,0,0,0,5260,0,0,0,1671,0,8754,38,0,0,4618,0,0,0,820,0
2026-06-30 15:39:31.293,57,0,6642,0,0,0,2392,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:31.301,57,0,6642,0,0,0,2392,0,0,0,0,0,3758,0,0,0,0,0,0,0,5161,0,0,0,1807,0,8582,109,0,0,4816,0,0,0,957,0
2026-06-30 15:39:31.302,100,0,6583,0,0,0,2447,0,0,0,0,0,3819,0,0,0,0,0,0,0,5161,0,0,0,1807,0,8582,109,0,0,4816,0,0,0,957,0
2026-06-30 15:39:31.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5144,0,0,0,1860,0,8540,109,0,0,4843,0,0,0,995,0
2026-06-30 15:39:31.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161,0,0,0,1862,0,8554,95,0,0,4857,0,0,0,968,0
2026-06-30 15:39:31.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5171,0,0,0,1873,0,8530,82,0,0,4888,0,0,0,929,0
